Number of binaries: 15576
Number of binaries with signatures: 2874

1018 MD5 digest [32.le.272&]: 1

1019 MD5 digest [32.be.272&]: 16

1021 RC2 skey key_table [..256]: 7

1036 SHA1 / SHA0 / RIPEMD-160 initialization [32.le.20&]: 16

1037 SHA1 / SHA0 / RIPEMD-160 initialization [32.be.20&]: 8

1038 padding used in hashing algorithms (0x80 0 ... 0) [..64]: 1964

1040 SSL3 #define [32.le.176&]: 1

1041 SSL3 #define [32.be.176&]: 40

1054 Haval hash pass2 [32.le.128&]: 27

1086 Zlib dist_code [..512]: 18

1087 Zlib length_code [..256]: 18

1089 Zlib base_length [32.le.116]: 18

1090 Zlib base_length [32.be.116]: 8

1091 Zlib base_dist [32.le.120]: 17

1092 Zlib base_dist [32.be.120]: 1

1102 possible mask reset used in arithmetic compression [..9]: 97

1115 Jpeg dct 14 bit aanscales [16.le.128]: 7

1116 Jpeg dct 14 bit aanscales [16.be.128]: 1

1119 Jpeg dct AA&N scale factor [double.le.64]: 7

1120 Jpeg dct AA&N scale factor [double.be.64]: 1

1171 G.721 _dqlntab [16.le.32]: 3

1173 G.721 _witab [16.le.32]: 3

1175 G.721 _fitab [16.le.32]: 3

1177 G.723_24 _dqlntab [16.le.16]: 3

1179 G.723_24 _witab [16.le.16]: 3

1181 G.723_24 _fitab [16.le.16]: 3

1183 G.723_40 _dqlntab [16.le.64]: 3

1185 G.723_40 _witab [16.le.64]: 3

1187 G.723_40 _fitab [16.le.64]: 3

1284 Windows CryptCreateHash [..16]: 10

1285 Windows CryptImportKey [..15]: 10

1286 Windows CryptHashData [..14]: 10

1288 Windows CryptDeriveKey [..15]: 10

1289 Windows CryptDecrypt [..13]: 10

1290 __popcount_tab (compression?) [..256]: 16

1291 select_tab (compression?) [..256]: 27

1295 TEA encryption/decryption (0xc6ef3720  0x9e3779b9) [32.le.8&]: 39

1299 classical random incrementer 0x343FD 0x269EC3 [32.le.8&]: 7

1339 sfb_96_1024 [16.le.82]: 5

1341 sfb_96_128 and sfb_64_128 [16.le.24]: 5

1342 sfb_96_128 and sfb_64_128 [16.be.24]: 5

1345 sfb_64_1024 [16.le.94]: 5

1347 sfb_48_1024 [16.le.98]: 5

1349 sfb_48_960 and sfb_32_960 [16.le.100]: 2

1355 sfb_48_128 [16.le.28]: 5

1356 sfb_48_128 [16.be.28]: 5

1359 sfb_48_120 [16.le.28]: 2

1360 sfb_48_120 [16.be.28]: 2

1361 sfb_32_1024 [16.le.102]: 5

1367 sfb_32_120 [16.le.30]: 2

1368 sfb_32_120 [16.be.30]: 2

1369 sfb_24_1024 [16.le.94]: 5

1371 sfb_24_960 [16.le.94]: 2

1377 sfb_24_128 [16.le.30]: 5

1378 sfb_24_128 [16.be.30]: 5

1381 sfb_24_120 [16.le.32]: 2

1382 sfb_24_120 [16.be.32]: 2

1383 sfb_16_1024 [16.le.86]: 5

1385 sfb_16_960 [16.le.84]: 5

1387 sfb_16_128 [16.le.30]: 5

1388 sfb_16_128 [16.be.30]: 5

1391 sfb_16_120 [16.le.30]: 2

1392 sfb_16_120 [16.be.30]: 2

1393 sfb_8_1024 [16.le.80]: 5

1395 sfb_8_960 [16.le.80]: 2

1397 sfb_8_128 [16.le.30]: 5

1398 sfb_8_128 [16.be.30]: 5

1401 sfb_8_120 [16.le.30]: 2

1402 sfb_8_120 [16.be.30]: 2

1427 generic sampling rate table (96000 -> 8000) [32.le.48]: 3

1443 liba52 hthtab [32.le.600]: 3

1445 liba52 baptab [..305]: 3

1447 liba52 bndtab [32.le.120]: 3

1448 liba52 bndtab [32.be.120]: 3

1449 liba52 latab [..256]: 3

1453 liba52 fftorder [..128]: 3

1454 liba52 dither_lut [16.le.512]: 2

1461 libaf alaw_decode [16.be.256]: 1

1493 libavcodec H.26L/H.264/AVC/JVT/14496-10 lps_range [..256]: 3

1563 libavcodec ff_zigzag_direct [..64]: 3

1564 libavcodec ff_zigzag248_direct [..64]: 3

1565 libavcodec ff_alternate_horizontal_scan [..64]: 3

1566 libavcodec ff_alternate_vertical_scan [..64]: 3

1567 libavcodec inverse table [32.le.1024]: 3

1601 libavcodec ASF asf_header [..16]: 9

1604 libavutil ff_sqrt_tab [..128]: 3

1605 Generic bitmask table [32.le.128]: 12

1710 libfaad2 f_huff_iid_def [..56]: 2

1711 libfaad2 t_huff_iid_def [..56]: 3

1712 libfaad2 f_huff_iid_fine [..120]: 3

1713 libfaad2 t_huff_iid_fine [..120]: 3

1714 libfaad2 f_huff_icc [..28]: 3

1715 libfaad2 t_huff_icc [..28]: 3

1716 libfaad2 f_huff_ipd [..14]: 3

1717 libfaad2 t_huff_ipd [..14]: 3

1718 libfaad2 f_huff_opd [..14]: 3

1721 asf_stream_header_guid [..16]: 6

1722 asf_file_header_guid [..16]: 9

1723 asf_content_desc_guid [..16]: 6

1724 asf_stream_group_guid [..16]: 9

1725 asf_data_chunk_guid [..16]: 9

1728 asf_ext_stream_header [..16]: 9

1750 libmpeg2 default_intra_quantizer_matrix [..64]: 1

1809 libdjvu GPixmap dither table [..256]: 2

1900 Speex lsp tables nb cdbk_nb [..640]: 3

1901 Speex exc_5_256_table [..1280]: 3

1902 Speex high_lsp_cdbk [..512]: 3

1903 Speex high_lsp_cdbk2 [..512]: 3

1918 DES initial permutation IP [..64]: 77

1922 DES S-boxes [..512]: 78

1963 FFT and FHT routines rv_tbl [..128]: 15

1994 power2 table [16.le.30]: 62

1995 power2 table [16.be.30]: 104

1996 rfc3548 Base 64 Encoding with URL and Filename Safe Alphabet [..62]: 13

2005 B64EncodeTable [..64]: 11

2049 RIPEMD k values [32.le.32&]: 6

2050 RIPEMD k values [32.be.32&]: 8

2053 RIPEMD-128 InitState [32.le.16&]: 63

2054 RIPEMD-128 InitState [32.be.16&]: 62

2055 RIPEMD-256 InitState [32.le.32&]: 9

2056 RIPEMD-256 InitState [32.be.32&]: 9

2057 RC5 and RC6 magic values (0xb7e15163L 0x9e3779b9L) [32.le.8&]: 3

2065 Haval init [32.le.32&]: 27

2067 Haval mc3 [32.le.128]: 27

2069 Haval mc4 [32.le.128]: 27

2071 Haval mc5 [32.le.128]: 27

2074 Gost original sBox [..128]: 160

2075 Generic squared map [..16]: 7

2081 RawDES sbox1 [32.be.256]: 10

2083 RawDES sbox2 [32.be.256]: 10

2085 RawDES sbox3 [32.be.256]: 10

2087 RawDES sbox4 [32.be.256]: 10

2089 RawDES sbox5 [32.be.256]: 10

2091 RawDES sbox6 [32.be.256]: 10

2093 RawDES sbox7 [32.be.256]: 10

2095 RawDES sbox8 [32.be.256]: 10

2107 Baseking RCE [..12]: 1

2129 DESX pc1 [..56]: 11

2130 DESX pc2 [..48]: 11

2217 HAVAL1_DS [32.le.32]: 27

2219 HAVAL2_DS [32.le.32]: 27

2229 DES2_DS [32.le.128]: 8

2233 RIJNDAEL1_DS [..33]: 15

2238 GOST4_DS [..128]: 2

2246 MISTY_DS [..32]: 11

2249 TEA1_DS [32.le.4]: 43

2250 TEA1_DS [32.be.4]: 2

2289 zinflate_lengthStarts [16.le.58]: 15

2290 zinflate_lengthStarts [16.be.58]: 1

2291 zinflate_lengthStarts [32.le.116]: 9

2292 zinflate_lengthStarts [32.be.116]: 5

2293 zinflate_lengthExtraBits [..29]: 4

2294 zinflate_lengthExtraBits [32.le.116]: 24

2295 zinflate_lengthExtraBits [32.be.116]: 21

2296 zinflate_distanceStarts [16.le.60]: 15

2297 zinflate_distanceStarts [16.be.60]: 1

2298 zinflate_distanceStarts [32.le.120]: 9

2299 zinflate_distanceStarts [32.be.120]: 5

2300 zinflate_distanceExtraBits [..30]: 13

2301 zinflate_distanceExtraBits [16.le.60]: 1

2302 zinflate_distanceExtraBits [16.be.60]: 1

2303 zinflate_distanceExtraBits [32.le.120]: 22

2304 zinflate_distanceExtraBits [32.be.120]: 15

2316 PKCS_DigestDecoration_MD5 [..18]: 17

